A165474              ?240608        165474                                             DATE DE LIVRAISON : 240608 HEURE MINI :      HEURE MAXI :                     EUR 165474               1420000000001
BCROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                   pdv03340@mousquetaires.com                                                                                       
BLROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
BFROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
C1   ????????        00000000020000006.87                                                                                                                                                                  165474              3281690225981
C2   ????????        00000000010000008.95                                                                                                                                                                  165474              3281690225998
C3   ????????        00000000020000009.88                                                                                                                                                                  165474              3281690226001
C4   ????????        00000000020000016.82                                                                                                                                                                  165474              3281690235447
C5   ????????        00000000030000023.18                                                                                                                                                                  165474              3281690244418
C6   ????????        00000000020000024.41                                                                                                                                                                  165474              3281690244425
C7   ????????        00000000030000026.45                                                                                                                                                                  165474              3281690244432
C8   ????????        00000000010000031.87                                                                                                                                                                  165474              3281690244449
C9   ????????        00000000010000003.02                                                                                                                                                                  165474              3281690235362
C10  ????????        000000000300000017.5                                                                                                                                                                  165474              3284090006358
C11  ????????        00000000020000001.66                                                                                                                                                                  165474              3281690164990
C12  ????????        00000000020000015.94                                                                                                                                                                  165474              3281690235669
C13  ????????        00000000020000008.75                                                                                                                                                                  165474              3281690174166
C14  ????????        00000000020000008.23                                                                                                                                                                  165474              3281690224540
C15  ????????        00000000020000016.02                                                                                                                                                                  165474              3281690228272
C16  ????????        000000000200000013.7                                                                                                                                                                  165474              3281690244463
C17  ????????        00000000020000008.23                                                                                                                                                                  165474              3281690224564
C18  ????????        00000000020000014.59                                                                                                                                                                  165474              3284090009748
