A165432              ?240404        165432                                             DATE DE LIVRAISON : 240404 HEURE MINI :      HEURE MAXI :                     EUR 165432               60150764627130
BCPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                   points-thourotte@points.fr                                                                                       
BLPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
BFPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
C1   ????????        00000000020000002.48                                                                                                                                                                  165432              3284090005504
C2   ????????        00000000040000004.95                                                                                                                                                                  165432              3284090006204
C3   ????????        000000000300000005.4                                                                                                                                                                  165432              3284090550028
C4   ????????        00000000020000008.78                                                                                                                                                                  165432              3281690170960
C5   ????????        00000000010000017.91                                                                                                                                                                  165432              3284090006785
C6   ????????        00000000020000008.78                                                                                                                                                                  165432              3281690164778
C7   ????????        00000000140000002.16                                                                                                                                                                  165432              5907718925999
C8   ????????        00000000030000006.21                                                                                                                                                                  165432              3284090005160
C9   ????????        00000000060000002.52                                                                                                                                                                  165432              3284090009472
C10  ????????        00000000600000001.98                                                                                                                                                                  165432              3284090001407
C11  ????????        00000000030000008.42                                                                                                                                                                  165432              3281690199732
C12  ????????        00000000040000003.32                                                                                                                                                                  165432              3284090541125
