A165535              ?240811        165535                                             DATE DE LIVRAISON : 240811 HEURE MINI :      HEURE MAXI :                     EUR 165535               3012810000105
BCFOIR'FOUILLE MONT DE MARSANS       ZC LE GRAND MOUN                                            40280    ST PIERRE DU MONT                  FR                                                   ff0260@lafoirfouille.fr                                                                                          
BLFOIR'FOUILLE MONT DE MARSANS       ZC LE GRAND MOUN                                            40280    ST PIERRE DU MONT                  FR                                                                                                                                                                    
BFFOIR'FOUILLE MONT DE MARSANS       ZC LE GRAND MOUN                                            40280    ST PIERRE DU MONT                  FR                                                                                                                                                                    
C1   ????????        000000000300000011.9                                                                                                                                                                  165535              3284090001056
C2   ????????        000000000100000007.9                                                                                                                                                                  165535              3284090003975
C3   ????????        000000001000000007.9                                                                                                                                                                  165535              3284090699406
C4   ????????        000000001200000001.9                                                                                                                                                                  165535              3284090001407
C5   ????????        00000000120000002.75                                                                                                                                                                  165535              3284090002275
C6   ????????        00000000090000001.99                                                                                                                                                                  165535              3284090007973
C7   ????????        00000000080000001.49                                                                                                                                                                  165535              5904224107772
C8   ????????        00000000100000002.15                                                                                                                                                                  165535              3284090598013
C9   ????????        00000000010000001.95                                                                                                                                                                  165535              3284090005115
C10  ????????        000000002000000000.3                                                                                                                                                                  165535              3284090004217
C11  ????????        00000000010000001.05                                                                                                                                                                  165535              3284090512019
C12  ????????        00000000040000005.35                                                                                                                                                                  165535              3284090001445
C13  ????????        000000002000000000.2                                                                                                                                                                  165535              3284090003418
C14  ????????        000000001000000000.2                                                                                                                                                                  165535              3284090341008
C15  ????????        000000000400000002.1                                                                                                                                                                  165535              7612720841042
C16  ????????        00000000080000001.49                                                                                                                                                                  165535              5902846837800
C17  ????????        00000000080000001.49                                                                                                                                                                  165535              5902846837831
C18  ????????        00000000100000002.99                                                                                                                                                                  165535              3284090004828
C19  ????????        00000000100000002.99                                                                                                                                                                  165535              3284090004811
C20  ????????        00000000100000002.99                                                                                                                                                                  165535              3284090004804
C21  ????????        00000000100000003.19                                                                                                                                                                  165535              3284090004880
C22  ????????        00000000100000003.19                                                                                                                                                                  165535              3284090004897
C23  ????????        000000002400000001.5                                                                                                                                                                  165535              3281690250082
C24  ????????        00000000100000001.46                                                                                                                                                                  165535              3284090005283
C25  ????????        00000000120000004.99                                                                                                                                                                  165535              3281690249772
C26  ????????        00000000200000001.25                                                                                                                                                                  165535              3281690236550
