A165642              ?241023        165642                                             DATE DE LIVRAISON : 241023 HEURE MINI :      HEURE MAXI :                     EUR 165642               1389900000001
BCROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                   pdv40438@mousquetaires.com                                                                                       
BLROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
BFROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
C1   ????????        000000000100000037.2                                                                                                                                                                  165642              3281690246948
C2   ????????        000000000100000037.3                                                                                                                                                                  165642              3281690246986
C3   ????????        00000000010000017.93                                                                                                                                                                  165642              3281690247518
C4   ????????        000000000100000017.7                                                                                                                                                                  165642              3281690247525
C5   ????????        000000000100000022.4                                                                                                                                                                  165642              3281690246931
C6   ????????        000000000100000013.9                                                                                                                                                                  165642              3281690243664
C7   ????????        000000000100000013.9                                                                                                                                                                  165642              3281690243671
C8   ????????        000000000100000005.3                                                                                                                                                                  165642              3281690241325
C9   ????????        00000000010000011.02                                                                                                                                                                  165642              3281690164778
C10  ????????        00000000010000011.02                                                                                                                                                                  165642              3281690147795
C11  ????????        00000000010000011.02                                                                                                                                                                  165642              3281690170977
C12  ????????        000000000100000013.4                                                                                                                                                                  165642              3284091410369
