A165452              ?240502        165452                                             DATE DE LIVRAISON : 240502 HEURE MINI :      HEURE MAXI :                     EUR 165452               33190764627130
BCPOINT S LA REOLE                   SARL KALETIEN ZI DE FRIMONT                                 33190    LA REOLE                           FR                                                   kaletien@points.fr                                                                                               
BLPOINT S LA REOLE                   SARL KALETIEN ZI DE FRIMONT                                 33190    LA REOLE                           FR                                                                                                                                                                    
BFPOINT S LA REOLE                   SARL KALETIEN ZI DE FRIMONT                                 33190    LA REOLE                           FR                                                                                                                                                                    
C1   ????????        00000000020000002.78                                                                                                                                                                  165452              3281690222300
C2   ????????        00000000010000015.57                                                                                                                                                                  165452              3281690247518
C3   ????????        00000000010000013.23                                                                                                                                                                  165452              3281690247488
C4   ????????        00000000010000015.57                                                                                                                                                                  165452              3281690247525
C5   ????????        00000000010000010.26                                                                                                                                                                  165452              3281690247501
C6   ????????        00000000010000015.57                                                                                                                                                                  165452              3281690247464
C7   ????????        00000000010000016.34                                                                                                                                                                  165452              3281690247006
C8   ????????        00000000010000018.99                                                                                                                                                                  165452              3281690246931
C9   ????????        00000000010000018.99                                                                                                                                                                  165452              3281690247082
C10  ????????        00000000010000032.76                                                                                                                                                                  165452              3281690246948
C11  ????????        00000000010000016.38                                                                                                                                                                  165452              3281690247204
C12  ????????        00000000010000018.99                                                                                                                                                                  165452              3281690247266
C13  ????????        00000000010000023.58                                                                                                                                                                  165452              3281690247167
C14  ????????        00000000010000023.94                                                                                                                                                                  165452              3281690247143
C15  ????????        00000000010000012.78                                                                                                                                                                  165452              3281690164525
C16  ????????        00000000020000025.05                                                                                                                                                                  165452              3281690191767
C17  ????????        00000000010000011.84                                                                                                                                                                  165452              3281690164761
C18  ????????        00000000010000015.45                                                                                                                                                                  165452              3519910203731
C19  ????????        00000000010000015.45                                                                                                                                                                  165452              3519910203762
C20  ????????        00000000010000015.45                                                                                                                                                                  165452              3281690195017
C21  ????????        00000000010000015.45                                                                                                                                                                  165452              3281690231586
C22  ????????        00000000010000015.45                                                                                                                                                                  165452              3281690237151
C23  ????????        00000000010000015.45                                                                                                                                                                  165452              3281690237168
C24  ????????        00000000010000015.45                                                                                                                                                                  165452              3281690235133
