A165454              ?240507        165454                                             DATE DE LIVRAISON : 240507 HEURE MINI :      HEURE MAXI :                     EUR 165454               1389900000001
BCROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                   pdv40438@mousquetaires.com                                                                                       
BLROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
BFROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
C1   ????????        00000000040000006.49                                                                                                                                                                  165454              3284090009816
C2   ????????        00000000020000010.51                                                                                                                                                                  165454              3284090009991
C3   ????????        00000000020000005.84                                                                                                                                                                  165454              3281690189191
C4   ????????        00000000010000005.49                                                                                                                                                                  165454              3284090002367
C5   ????????        00000000020000009.39                                                                                                                                                                  165454              3281690244920
C6   ????????        00000000020000012.65                                                                                                                                                                  165454              3281690141922
C7   ????????        00000000010000006.55                                                                                                                                                                  165454              3284090197025
C8   ????????        000000000300000006.1                                                                                                                                                                  165454              3281690247532
C9   ????????        000000000100000038.6                                                                                                                                                                  165454              3281690246993
C10  ????????        00000000010000020.34                                                                                                                                                                  165454              3281690190753
C11  ????????        00000000010000020.34                                                                                                                                                                  165454              3281690190760
