A165489              ?240626        165489                                             DATE DE LIVRAISON : 240626 HEURE MINI :      HEURE MAXI :                     EUR 165489               3012810000105
BCCENTR'AUTO PLAINE FEURS            2 RUE DU CAPITOL                                            42110    FEURS                              FR                                                   c.blachon@centrautoplaine.fr                                                                                     
BLCENTR'AUTO PLAINE FEURS            2 RUE DU CAPITOL                                            42110    FEURS                              FR                                                                                                                                                                    
BFCENTR'AUTO PLAINE FEURS            2 RUE DU CAPITOL                                            42110    FEURS                              FR                                                                                                                                                                    
C1   ????????        00000000010000015.45                                                                                                                                                                  165489              3281690250716
C2   ????????        00000000010000015.45                                                                                                                                                                  165489              3281690250617
C3   ????????        00000000010000015.45                                                                                                                                                                  165489              3281690250686
C4   ????????        00000000010000015.45                                                                                                                                                                  165489              3281690250549
C5   ????????        00000000010000015.45                                                                                                                                                                  165489              3281690250792
C6   ????????        000000000100000008.6                                                                                                                                                                  165489              3281690164549
C7   ????????        00000000010000010.54                                                                                                                                                                  165489              3281690170960
C8   ????????        00000000010000011.75                                                                                                                                                                  165489              3281690179796
C9   ????????        00000000020000003.99                                                                                                                                                                  165489              3281690187654
C10  ????????        00000000010000006.39                                                                                                                                                                  165489              3281690192085
C11  ????????        00000000010000006.39                                                                                                                                                                  165489              3281690192108
C12  ????????        00000000010000008.99                                                                                                                                                                  165489              3281690199626
C13  ????????        00000000010000035.37                                                                                                                                                                  165489              3281690244371
C14  ????????        00000000010000005.44                                                                                                                                                                  165489              3281690245811
C15  ????????        00000000010000003.99                                                                                                                                                                  165489              3281690245842
C16  ????????        00000000020000013.68                                                                                                                                                                  165489              3281690247150
C17  ????????        00000000010000023.58                                                                                                                                                                  165489              3281690247167
C18  ????????        00000000010000007.79                                                                                                                                                                  165489              3281690247426
C19  ????????        00000000010000010.26                                                                                                                                                                  165489              3281690247457
C20  ????????        00000000010000010.26                                                                                                                                                                  165489              3281690247501
C21  ????????        00000000010000005.22                                                                                                                                                                  165489              3281690247532
C22  ????????        00000000010000015.45                                                                                                                                                                  165489              3281690195017
C23  ????????        00000000010000005.45                                                                                                                                                                  165489              3284090003920
C24  ????????        00000000010000017.35                                                                                                                                                                  165489              3284090009335
C25  ????????        00000000010000000030                                                                                                                                                                  165489              0123456789012
