A165541              ?240813        165541                                             DATE DE LIVRAISON : 240813 HEURE MINI :      HEURE MAXI :                     EUR 165541               1389900000001
BCROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                   pdv40438@mousquetaires.com                                                                                       
BLROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
BFROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
C1   ????????        00000000010000014.98                                                                                                                                                                  165541              3281690225004
C2   ????????        00000000010000006.55                                                                                                                                                                  165541              3284090197025
C3   ????????        000000000200000008.6                                                                                                                                                                  165541              3281690243640
C4   ????????        00000000020000009.15                                                                                                                                                                  165541              3281690247426
C5   ????????        00000000010000040.55                                                                                                                                                                  165541              3281690247075
C6   ????????        00000000020000009.25                                                                                                                                                                  165541              3281690199732
C7   ????????        00000000120000003.99                                                                                                                                                                  165541              3284090152017
C8   ????????        000000001000000001.1                                                                                                                                                                  165541              3284090004224
C9   ????????        000000001200000002.5                                                                                                                                                                  165541              3281690249420
C10  ????????        00000000010000007.26                                                                                                                                                                  165541              3284090009984
