A165686              ?241105        165686                                             DATE DE LIVRAISON : 241105 HEURE MINI :      HEURE MAXI :                     EUR 165686               60150764627130
BCPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                   points-thourotte@points.fr                                                                                       
BLPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
BFPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
C1   ????????        00000000040000004.95                                                                                                                                                                  165686              3284090006204
C2   ????????        00000000120000001.58                                                                                                                                                                  165686              3284090002152
C3   ????????        000000000200000010.8                                                                                                                                                                  165686              3284090009939
C4   ????????        00000000010000014.85                                                                                                                                                                  165686              3284091310331
C5   ????????        00000000010000012.06                                                                                                                                                                  165686              3284091310355
C6   ????????        00000000010000012.06                                                                                                                                                                  165686              3284091410352
C7   ????????        00000000020000014.85                                                                                                                                                                  165686              3284091410338
C8   ????????        00000000010000015.49                                                                                                                                                                  165686              3284091610356
C9   ????????        00000000010000015.49                                                                                                                                                                  165686              3284091610318
C10  ????????        000000000600000004.4                                                                                                                                                                  165686              3284090002206
C11  ????????        00000000010000000.95                                                                                                                                                                  165686              8410800067547
C12  ????????        00000000010000015.75                                                                                                                                                                  165686              3284090006358
C13  ????????        00000000210000004.05                                                                                                                                                                  165686              3284090001421
C14  ????????        00000000010000015.75                                                                                                                                                                  165686              3284091510335
C15  ????????        00000000010000012.06                                                                                                                                                                  165686              3284091410314
