A165580              ?240917        165580                                             DATE DE LIVRAISON : 240917 HEURE MINI :      HEURE MAXI :                     EUR 165580               1420000000001
BCROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                   pdv03340@mousquetaires.com                                                                                       
BLROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
BFROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
C1   ????????        00000000150000006.49                                                                                                                                                                  165580              3284090009816
C2   ????????        00000000010000012.33                                                                                                                                                                  165580              3281690164761
C3   ????????        00000000010000031.87                                                                                                                                                                  165580              3281690244449
C4   ????????        00000000010000024.41                                                                                                                                                                  165580              3281690244425
C5   ????????        00000000010000023.18                                                                                                                                                                  165580              3281690244418
C6   ????????        00000000020000045.46                                                                                                                                                                  165580              3281690244371
C7   ????????        00000000010000012.98                                                                                                                                                                  165580              3281690235430
C8   ????????        00000000020000011.02                                                                                                                                                                  165580              3281690170960
C9   ????????        00000000020000011.55                                                                                                                                                                  165580              3281690164549
C10  ????????        000000000200000013.7                                                                                                                                                                  165580              3281690187142
C11  ????????        00000000010000008.75                                                                                                                                                                  165580              3281690174166
C12  ????????        00000000020000006.14                                                                                                                                                                  165580              3281690185872
C13  ????????        00000000010000006.14                                                                                                                                                                  165580              3281690187524
C14  ????????        000000000100000009.1                                                                                                                                                                  165580              3281690190081
C15  ????????        00000000010000008.98                                                                                                                                                                  165580              3281690174883
C16  ????????        00000000020000008.98                                                                                                                                                                  165580              3281690174159
C17  ????????        000000000200000005.3                                                                                                                                                                  165580              3281690241325
C18  ????????        00000000020000008.23                                                                                                                                                                  165580              3281690224540
C19  ????????        00000000020000028.49                                                                                                                                                                  165580              3281690191767
C20  ????????        00000000040000007.73                                                                                                                                                                  165580              3281690137581
C21  ????????        00000000010000000030                                                                                                                                                                  165580              0123456789012
