A165624              ?241014        165624                                             DATE DE LIVRAISON : 241014 HEURE MINI :      HEURE MAXI :                     EUR 165624               1389900000001
BCROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                   pdv40438@mousquetaires.com                                                                                       
BLROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
BFROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
C1   ????????        000000000200000019.2                                                                                                                                                                  165624              3281690247204
C2   ????????        000000000200000022.4                                                                                                                                                                  165624              3281690247082
C3   ????????        000000000100000022.4                                                                                                                                                                  165624              3281690247068
C4   ????????        00000000020000009.88                                                                                                                                                                  165624              3281690226001
C5   ????????        00000000010000014.98                                                                                                                                                                  165624              3281690225004
C6   ????????        000000000100000013.4                                                                                                                                                                  165624              3284091310287
C7   ????????        000000000200000013.4                                                                                                                                                                  165624              3284091410284
C8   ????????        000000000100000013.4                                                                                                                                                                  165624              3284091410352
C9   ????????        00000000010000014.16                                                                                                                                                                  165624              3284091510359
