A165637              ?241021        165637                                             DATE DE LIVRAISON : 241021 HEURE MINI :      HEURE MAXI :                     EUR 165637               3012842644707
BCFEU VERT VESOUL PUSEY              ZONE DE L'OASIS                                             70000    PUSEY                              FR 0384961554                                        vesoul@feuvert.fr                                                                                                
BLFEU VERT VESOUL PUSEY              ZONE DE L'OASIS                                             70000    PUSEY                              FR 0384961554                                                                                                                                                         
BFFEU VERT VESOUL PUSEY              ZONE DE L'OASIS                                             70000    PUSEY                              FR 0384961554                                                                                                                                                         
C1   ????????        000000000200000031.5                                                                                                                                                                  165637              3281690244357
C2   ????????        000000000100000039.9                                                                                                                                                                  165637              3281690244395
C3   ????????        000000000100000024.7                                                                                                                                                                  165637              3281690247143
C4   ????????        000000000100000015.2                                                                                                                                                                  165637              3281690247297
C5   ????????        00000000010000033.25                                                                                                                                                                  165637              3281690247037
C6   ????????        00000000020000018.95                                                                                                                                                                  165637              3281690247082
C7   ????????        00000000020000017.32                                                                                                                                                                  165637              3281690247204
C8   ????????        000000000100000017.5                                                                                                                                                                  165637              3281690247235
C9   ????????        000000000100000033.9                                                                                                                                                                  165637              3281690247242
C10  ????????        00000000010000030.49                                                                                                                                                                  165637              3281690247020
C11  ????????        00000000010000036.59                                                                                                                                                                  165637              3281690246955
C12  ????????        00000000020000005.78                                                                                                                                                                  165637              3281690247532
C13  ????????        00000000010000014.76                                                                                                                                                                  165637              3281690247488
C14  ????????        00000000010000017.33                                                                                                                                                                  165637              3281690247518
C15  ????????        00000000010000011.42                                                                                                                                                                  165637              3281690247501
C16  ????????        00000000020000004.44                                                                                                                                                                  165637              3281690187654
C17  ????????        00000000010000015.66                                                                                                                                                                  165637              3519910034120
C18  ????????        00000000010000014.55                                                                                                                                                                  165637              3519910034113
C19  ????????        00000000010000016.56                                                                                                                                                                  165637              3281690247136
C20  ????????        00000000020000015.28                                                                                                                                                                  165637              3281690247150
C21  ????????        00000000020000010.74                                                                                                                                                                  165637              3281690237809
C22  ????????        00000000010000010.83                                                                                                                                                                  165637              3281690201824
C23  ????????        000000000100000007.9                                                                                                                                                                  165637              3281690164549
C24  ????????        000000000100000009.5                                                                                                                                                                  165637              3281690164525
C25  ????????        00000000010000017.75                                                                                                                                                                  165637              3281690235270
C26  ????????        00000000010000000077                                                                                                                                                                  165637              3281690233177
C27  ????????        00000000010000006.59                                                                                                                                                                  165637              3281690225998
C28  ????????        00000000150000001.06                                                                                                                                                                  165637              3284090512019
C29  ????????        00000000040000002.54                                                                                                                                                                  165637              3284090005085
