A165550              ?240826        165550                                             DATE DE LIVRAISON : 240826 HEURE MINI :      HEURE MAXI :                     EUR 165550               1389900000001
BCROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                   pdv40438@mousquetaires.com                                                                                       
BLROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
BFROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
C1   ????????        00000000010000042.29                                                                                                                                                                  165550              3281690244364
C2   ????????        00000000010000026.45                                                                                                                                                                  165550              3281690244432
C3   ????????        00000000010000024.41                                                                                                                                                                  165550              3281690244425
C4   ????????        00000000010000021.35                                                                                                                                                                  165550              3281690244401
C5   ????????        00000000010000023.18                                                                                                                                                                  165550              3281690244418
C6   ????????        00000000010000014.98                                                                                                                                                                  165550              3281690225028
C7   ????????        000000000100000013.4                                                                                                                                                                  165550              3284091410369
C8   ????????        000000000100000006.3                                                                                                                                                                  165550              3284090005160
C9   ????????        00000000010000004.49                                                                                                                                                                  165550              3284090009434
C10  ????????        00000000010000014.59                                                                                                                                                                  165550              3284090009748
C11  ????????        00000000020000005.84                                                                                                                                                                  165550              3281690189191
