A165559              ?240904        165559                                             DATE DE LIVRAISON : 240904 HEURE MINI :      HEURE MAXI :                     EUR 165559               1420000000001
BCROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                   pdv03340@mousquetaires.com                                                                                       
BLROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
BFROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
C1   ????????        00000000010000008.35                                                                                                                                                                  165559              630932151039 
C2   ????????        00000000010000013.47                                                                                                                                                                  165559              3281690222140
C3   ????????        00000000010000015.91                                                                                                                                                                  165559              3281690244166
C4   ????????        00000000010000024.41                                                                                                                                                                  165559              3281690244425
C5   ????????        00000000010000037.89                                                                                                                                                                  165559              3281690244357
C6   ????????        000000000100000012.1                                                                                                                                                                  165559              3281690247549
C7   ????????        000000000100000019.2                                                                                                                                                                  165559              3281690247006
C8   ????????        00000000020000000047                                                                                                                                                                  165559              3281690247129
C9   ????????        000000000100000019.2                                                                                                                                                                  165559              3281690247204
C10  ????????        00000000010000011.02                                                                                                                                                                  165559              3281690170977
