A165563              ?240907        165563                                             DATE DE LIVRAISON : 240907 HEURE MINI :      HEURE MAXI :                     EUR 165563               60150764627130
BCPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                   points-thourotte@points.fr                                                                                       
BLPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
BFPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
C1   ????????        00000000020000008.78                                                                                                                                                                  165563              3281690170960
C2   ????????        00000000060000001.31                                                                                                                                                                  165563              3284090006051
C3   ????????        00000000060000005.85                                                                                                                                                                  165563              3284090007560
C4   ????????        000000000400000010.8                                                                                                                                                                  165563              3284090009939
C5   ????????        00000000080000001.94                                                                                                                                                                  165563              5902846837794
C6   ????????        00000000140000002.16                                                                                                                                                                  165563              5908241631135
C7   ????????        00000000100000000.42                                                                                                                                                                  165563              3284090003418
C8   ????????        00000000100000002.06                                                                                                                                                                  165563              3284090310011
C9   ????????        00000000040000009.89                                                                                                                                                                  165563              3284090987114
C10  ????????        00000000010000001.62                                                                                                                                                                  165563              3281690234037
C11  ????????        000000000100000028.8                                                                                                                                                                  165563              3284090006921
C12  ????????        00000000010000001.58                                                                                                                                                                  165563              3284090002152
C13  ????????        00000000020000008.78                                                                                                                                                                  165563              3281690164778
C14  ????????        00000000020000012.74                                                                                                                                                                  165563              3284091510359
C15  ????????        00000000020000012.74                                                                                                                                                                  165563              3284091510311
