A165469              ?240530        165469                                             DATE DE LIVRAISON : 240530 HEURE MINI :      HEURE MAXI :                     EUR 165469               2230065423980
BCROADY PAIMPOL                      27 rue raymond pellier                                      22500    PAIMPOL                            FR                                                   pdv09450@mousquetaires.com                                                                                       
BLROADY PAIMPOL                      27 rue raymond pellier                                      22500    PAIMPOL                            FR                                                                                                                                                                    
BFROADY PAIMPOL                      27 rue raymond pellier                                      22500    PAIMPOL                            FR                                                                                                                                                                    
C1   ????????        00000000010000009.25                                                                                                                                                                  165469              3281690199732
C2   ????????        00000000020000011.55                                                                                                                                                                  165469              3281690164549
C3   ????????        00000000020000014.98                                                                                                                                                                  165469              3281690225004
C4   ????????        00000000120000003.65                                                                                                                                                                  165469              3284090002497
C5   ????????        00000000020000006.87                                                                                                                                                                  165469              3281690225981
C6   ????????        00000000020000008.95                                                                                                                                                                  165469              3281690225998
C7   ????????        00000000020000009.88                                                                                                                                                                  165469              3281690226001
C8   ????????        000000000200000025.6                                                                                                                                                                  165469              3281690247105
C9   ????????        000000000200000019.2                                                                                                                                                                  165469              3281690247204
C10  ????????        000000000200000033.2                                                                                                                                                                  165469              3281690247211
C11  ????????        000000000100000016.1                                                                                                                                                                  165469              3281690247150
