A165533              ?240807        165533                                             DATE DE LIVRAISON : 240807 HEURE MINI :      HEURE MAXI :                     EUR 165533               61300764627130
BCPOINT S L'AIGLE                    4 AVENUE KENNEDY CENTRE AUTO DE LA RISLE                    61300    L AIGLE                            FR                                                   centreautorisle@points.fr                                                                                        
BLPOINT S L'AIGLE                    4 AVENUE KENNEDY CENTRE AUTO DE LA RISLE                    61300    L AIGLE                            FR                                                                                                                                                                    
BFPOINT S L'AIGLE                    4 AVENUE KENNEDY CENTRE AUTO DE LA RISLE                    61300    L AIGLE                            FR                                                                                                                                                                    
C1   ????????        00000000520000001.98                                                                                                                                                                  165533              3284090001407
C2   ????????        00000000100000002.51                                                                                                                                                                  165533              3284092800015
C3   ????????        00000000100000002.51                                                                                                                                                                  165533              3284092800039
C4   ????????        00000000100000002.51                                                                                                                                                                  165533              3284092800022
C5   ????????        00000000100000002.51                                                                                                                                                                  165533              3284092800046
C6   ????????        00000000080000001.94                                                                                                                                                                  165533              5904224107765
C7   ????????        00000000080000001.94                                                                                                                                                                  165533              5902846837800
C8   ????????        00000000080000001.94                                                                                                                                                                  165533              5902846837794
C9   ????????        00000000080000001.94                                                                                                                                                                  165533              5904224107734
C10  ????????        00000000080000001.94                                                                                                                                                                  165533              5904224109257
C11  ????????        00000000010000007.19                                                                                                                                                                  165533              3281690164518
C12  ????????        000000000100000004.3                                                                                                                                                                  165533              3281690227077
C13  ????????        00000000020000006.22                                                                                                                                                                  165533              3281690225981
