A165513              ?240718        165513                                             DATE DE LIVRAISON : 240718 HEURE MINI :      HEURE MAXI :                     EUR 165513               1389900000001
BCROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                   pdv40438@mousquetaires.com                                                                                       
BLROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
BFROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
C1   ????????        000000000100000005.3                                                                                                                                                                  165513              3281690241325
C2   ????????        00000000040000005.84                                                                                                                                                                  165513              3281690189191
C3   ????????        00000000010000006.14                                                                                                                                                                  165513              3281690185889
C4   ????????        00000000010000006.14                                                                                                                                                                  165513              3281690185872
C5   ????????        000000000100000013.7                                                                                                                                                                  165513              3281690187142
C6   ????????        000000000100000013.7                                                                                                                                                                  165513              3281690187210
C7   ????????        00000000010000006.87                                                                                                                                                                  165513              3281690225981
C8   ????????        00000000010000023.18                                                                                                                                                                  165513              3281690244418
C9   ????????        00000000010000024.41                                                                                                                                                                  165513              3281690244425
C10  ????????        00000000010000037.89                                                                                                                                                                  165513              3281690244357
C11  ????????        00000000010000035.27                                                                                                                                                                  165513              3281690244340
C12  ????????        000000000500000006.1                                                                                                                                                                  165513              3281690247532
