A165416              ?240306        165416                                             DATE DE LIVRAISON : 240306 HEURE MINI :      HEURE MAXI :                     EUR 165416               1420000000001
BCROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                   pdv03340@mousquetaires.com                                                                                       
BLROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
BFROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
C1   ????????        00000000010000006.32                                                                                                                                                                  165416              3281690225981
C2   ????????        00000000010000008.18                                                                                                                                                                  165416              3281690235300
C3   ????????        00000000020000008.83                                                                                                                                                                  165416              3281690247471
C4   ????????        00000000010000008.42                                                                                                                                                                  165416              3281690247426
C5   ????????        00000000020000008.42                                                                                                                                                                  165416              3281690247433
C6   ????????        00000000010000008.42                                                                                                                                                                  165416              3281690247440
C7   ????????        00000000010000020.61                                                                                                                                                                  165416              3281690247266
C8   ????????        00000000010000020.61                                                                                                                                                                  165416              3281690246931
C9   ????????        00000000010000017.66                                                                                                                                                                  165416              3281690247006
C10  ????????        00000000020000017.66                                                                                                                                                                  165416              3281690247204
C11  ????????        00000000010000035.51                                                                                                                                                                  165416              3281690246955
C12  ????????        000000000200000017.3                                                                                                                                                                  165416              3281690247303
C13  ????????        000000000200000017.3                                                                                                                                                                  165416              3281690247297
C14  ????????        00000000030000002.73                                                                                                                                                                  165416              3281690222300
C15  ????????        00000000010000011.82                                                                                                                                                                  165416              3281690164563
C16  ????????        00000000010000008.51                                                                                                                                                                  165416              3281690199732
C17  ????????        00000000010000015.81                                                                                                                                                                  165416              3519910034359
C18  ????????        00000000040000001.53                                                                                                                                                                  165416              3281690164990
C19  ????????        00000000020000020.61                                                                                                                                                                  165416              3281690246979
C20  ????????        00000000010000000003                                                                                                                                                                  165416              0123456789012
