A165453              ?240506        165453                                             DATE DE LIVRAISON : 240506 HEURE MINI :      HEURE MAXI :                     EUR 165453               1477741103254
BCROADY GUISE                        ZA DE LA BRIQUETTERIE RUE DES DOCTEURS DEVILLERS            02120    GUISE                              FR                                                   roady-guise@outlook.fr                                                                                           
BLROADY GUISE                        ZA DE LA BRIQUETTERIE RUE DES DOCTEURS DEVILLERS            02120    GUISE                              FR                                                                                                                                                                    
BFROADY GUISE                        ZA DE LA BRIQUETTERIE RUE DES DOCTEURS DEVILLERS            02120    GUISE                              FR                                                                                                                                                                    
C1   ????????        000000000200000015.6                                                                                                                                                                  165453              3281690247488
C2   ????????        000000000200000012.1                                                                                                                                                                  165453              3281690247501
C3   ????????        00000000020000009.15                                                                                                                                                                  165453              3281690247426
C4   ????????        000000000200000033.2                                                                                                                                                                  165453              3281690247211
C5   ????????        000000000200000017.5                                                                                                                                                                  165453              3284091510335
C6   ????????        000000000100000016.5                                                                                                                                                                  165453              3284091410338
C7   ????????        00000000020000013.75                                                                                                                                                                  165453              3519911500075
C8   ????????        00000000010000008.98                                                                                                                                                                  165453              3281690174159
C9   ????????        00000000020000006.87                                                                                                                                                                  165453              3281690225981
C10  ????????        00000000020000008.95                                                                                                                                                                  165453              3281690225998
C11  ????????        00000000010000019.57                                                                                                                                                                  165453              3281690166178
C12  ????????        00000000010000011.55                                                                                                                                                                  165453              3281690164549
