A165493              ?240701        165493                                             DATE DE LIVRAISON : 240701 HEURE MINI :      HEURE MAXI :                     EUR 165493               60150764627130
BCPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                   points-thourotte@points.fr                                                                                       
BLPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
BFPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
C1   ????????        00000000020000006.26                                                                                                                                                                  165493              3281690185889
C2   ????????        00000000100000001.22                                                                                                                                                                  165493              3284090512019
C3   ????????        00000000100000001.94                                                                                                                                                                  165493              5902846837800
C4   ????????        00000000120000000.95                                                                                                                                                                  165493              7612720201624
C5   ????????        00000000120000000.95                                                                                                                                                                  165493              7612720208333
C6   ????????        00000000120000000.95                                                                                                                                                                  165493              7612720201433
C7   ????????        000000000400000005.4                                                                                                                                                                  165493              3284090550028
C8   ????????        000000000300000004.1                                                                                                                                                                  165493              3284090002022
C9   ????????        000000000100000028.8                                                                                                                                                                  165493              3284090006921
C10  ????????        00000000040000004.22                                                                                                                                                                  165493              3284090005108
C11  ????????        00000000040000003.32                                                                                                                                                                  165493              3284090009564
C12  ????????        00000000100000002.23                                                                                                                                                                  165493              5904224107741
C13  ????????        00000000010000018.99                                                                                                                                                                  165493              3281690246931
C14  ????????        00000000010000018.99                                                                                                                                                                  165493              3281690247235
C15  ????????        00000000020000010.45                                                                                                                                                                  165493              3281690240984
C16  ????????        00000000010000006.21                                                                                                                                                                  165493              3284090005160
C17  ????????        000000000100000010.8                                                                                                                                                                  165493              3284090009939
C18  ????????        00000000010000032.76                                                                                                                                                                  165493              3281690247198
C19  ????????        00000000200000001.98                                                                                                                                                                  165493              3284090001407
C20  ????????        00000000040000002.48                                                                                                                                                                  165493              3284090005504
