A165460              ?240518        165460                                             DATE DE LIVRAISON : 240518 HEURE MINI :      HEURE MAXI :                     EUR 165460               3012842644264
BCFEU VERT CREYSSE                   ROND POINT PORTE DE LA DORDOGNE ZAC LA NAUVE                24100    CREYSSE                            FR                                                   creysse@feuvert.fr                                                                                               
BLFEU VERT CREYSSE                   ROND POINT PORTE DE LA DORDOGNE ZAC LA NAUVE                24100    CREYSSE                            FR                                                                                                                                                                    
BFFEU VERT CREYSSE                   ROND POINT PORTE DE LA DORDOGNE ZAC LA NAUVE                24100    CREYSSE                            FR                                                                                                                                                                    
C1   ????????        00000000020000017.32                                                                                                                                                                  165460              3281690247204
C2   ????????        00000000010000031.45                                                                                                                                                                  165460              3281690247211
C3   ????????        00000000040000015.28                                                                                                                                                                  165460              3281690247150
C4   ????????        00000000020000017.33                                                                                                                                                                  165460              3281690247464
C5   ????????        00000000020000011.42                                                                                                                                                                  165460              3281690247501
C6   ????????        00000000010000017.33                                                                                                                                                                  165460              3281690247518
C7   ????????        00000000020000007.51                                                                                                                                                                  165460              3281690187128
C8   ????????        00000000010000006.34                                                                                                                                                                  165460              3281690185889
C9   ????????        00000000010000006.15                                                                                                                                                                  165460              3281690185872
C10  ????????        00000000020000004.99                                                                                                                                                                  165460              3281690184028
C11  ????????        00000000010000010.81                                                                                                                                                                  165460              3281690177273
C12  ????????        00000000010000010.71                                                                                                                                                                  165460              3281690187166
C13  ????????        00000000010000010.83                                                                                                                                                                  165460              3281690201824
C14  ????????        000000000100000011.9                                                                                                                                                                  165460              3281690187142
C15  ????????        000000000100000011.9                                                                                                                                                                  165460              3281690187210
C16  ????????        000000000400000007.1                                                                                                                                                                  165460              3281690199732
C17  ????????        000000000400000007.9                                                                                                                                                                  165460              3281690164549
C18  ????????        00000000020000013.35                                                                                                                                                                  165460              3281690164556
C19  ????????        00000000010000014.55                                                                                                                                                                  165460              3281690222188
C20  ????????        00000000010000012.76                                                                                                                                                                  165460              3281690164754
C21  ????????        00000000010000002.79                                                                                                                                                                  165460              3281690201930
C22  ????????        00000000020000005.29                                                                                                                                                                  165460              3281690225981
C23  ????????        00000000010000006.59                                                                                                                                                                  165460              3281690225998
C24  ????????        00000000010000007.92                                                                                                                                                                  165460              3281690226001
C25  ????????        00000000020000012.05                                                                                                                                                                  165460              3281690236987
C26  ????????        00000000030000005.94                                                                                                                                                                  165460              3281690137581
C27  ????????        00000000020000011.75                                                                                                                                                                  165460              3281690227329
C28  ????????        000000000200000024.7                                                                                                                                                                  165460              3281690247143
C29  ????????        00000000010000030.49                                                                                                                                                                  165460              3281690247013
C30  ????????        00000000020000017.32                                                                                                                                                                  165460              3281690247006
C31  ????????        000000000200000017.5                                                                                                                                                                  165460              3281690247235
C32  ????????        00000000020000009.11                                                                                                                                                                  165460              3281690247471
C33  ????????        00000000020000018.95                                                                                                                                                                  165460              3281690247082
C34  ????????        000000000100000033.8                                                                                                                                                                  165460              3281690247099
A165461              ?240518        165461                                             DATE DE LIVRAISON : 240518 HEURE MINI :      HEURE MAXI :                     EUR 165461               3012842641836
BCFEU VERT CARPENTRAS                815 AVENUE J.H. FABRE SARL AUTO FEELING                     84200    CARPENTRAS                         FR                                                   carpentras@feuvert.fr                                                                                            
BLFEU VERT CARPENTRAS                815 AVENUE J.H. FABRE SARL AUTO FEELING                     84200    CARPENTRAS                         FR                                                                                                                                                                    
BFFEU VERT CARPENTRAS                815 AVENUE J.H. FABRE SARL AUTO FEELING                     84200    CARPENTRAS                         FR                                                                                                                                                                    
C1   ????????        000000000200000011.9                                                                                                                                                                  165461              3284091310355
C2   ????????        000000000200000012.2                                                                                                                                                                  165461              3284091410352
C3   ????????        000000000200000012.7                                                                                                                                                                  165461              3284091510359
C4   ????????        000000000200000013.2                                                                                                                                                                  165461              3284091610356
C5   ????????        000000000300000007.1                                                                                                                                                                  165461              3281690199732
C6   ????????        00000000020000004.44                                                                                                                                                                  165461              3281690187654
C7   ????????        000000000200000013.2                                                                                                                                                                  165461              3281690244463
C8   ????????        00000000010000070.08                                                                                                                                                                  165461              3281690244838
C9   ????????        00000000030000017.32                                                                                                                                                                  165461              3281690247006
C10  ????????        00000000020000003.84                                                                                                                                                                  165461              3281690227077
C11  ????????        00000000060000003.56                                                                                                                                                                  165461              3281690227374
C12  ????????        00000000020000003.99                                                                                                                                                                  165461              3281690226568
C13  ????????        00000000010000006.19                                                                                                                                                                  165461              3281690239988
C14  ????????        00000000020000004.99                                                                                                                                                                  165461              3281690184028
