A165430              ?240402        165430                                             DATE DE LIVRAISON : 240402 HEURE MINI :      HEURE MAXI :                     EUR 165430               7370045987650
BCROADY BOURG ST MAURICE             LIEU DIT LE MOLLARD                                         73700    BOURG ST MAURICE                   FR                                                   pdv02578@mousquetaires.com                                                                                       
BLROADY BOURG ST MAURICE             LIEU DIT LE MOLLARD                                         73700    BOURG ST MAURICE                   FR                                                                                                                                                                    
BFROADY BOURG ST MAURICE             LIEU DIT LE MOLLARD                                         73700    BOURG ST MAURICE                   FR                                                                                                                                                                    
C1   ????????        00000000080000002.45                                                                                                                                                                  165430              5907718920932
C2   ????????        00000000080000002.45                                                                                                                                                                  165430              5907718920925
C3   ????????        00000000080000002.45                                                                                                                                                                  165430              5907718921038
C4   ????????        00000000080000002.45                                                                                                                                                                  165430              5907718920994
C5   ????????        00000000080000002.45                                                                                                                                                                  165430              5907718920987
C6   ????????        00000000120000001.99                                                                                                                                                                  165430              5907718926774
C7   ????????        00000000120000001.99                                                                                                                                                                  165430              5907718926767
C8   ????????        00000000120000001.99                                                                                                                                                                  165430              5907718926750
C9   ????????        00000000120000001.99                                                                                                                                                                  165430              5904224107758
C10  ????????        00000000060000001.99                                                                                                                                                                  165430              5907718926484
C11  ????????        000000002400000000.8                                                                                                                                                                  165430              5904224103781
C12  ????????        000000002400000000.8                                                                                                                                                                  165430              5902846831204
C13  ????????        00000000100000002.75                                                                                                                                                                  165430              5060194134030
C14  ????????        00000000120000001.05                                                                                                                                                                  165430              7612720201419
C15  ????????        00000000120000001.05                                                                                                                                                                  165430              7612720208128
C16  ????????        00000000120000001.05                                                                                                                                                                  165430              7612720201723
C17  ????????        00000000010000008.98                                                                                                                                                                  165430              3281690174883
C18  ????????        00000000010000008.98                                                                                                                                                                  165430              3281690174159
C19  ????????        00000000010000006.14                                                                                                                                                                  165430              3281690185889
C20  ????????        00000000010000005.88                                                                                                                                                                  165430              3281690184028
C21  ????????        00000000010000000000                                                                                                                                                                  165430              0123456789012
