A165511              ?240715        165511                                             DATE DE LIVRAISON : 240715 HEURE MINI :      HEURE MAXI :                     EUR 165511               1420000000001
BCROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                   pdv03340@mousquetaires.com                                                                                       
BLROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
BFROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
C1   ????????        00000000120000006.49                                                                                                                                                                  165511              3284090009816
C2   ????????        000000000300000012.1                                                                                                                                                                  165511              3281690247549
C3   ????????        000000000100000022.4                                                                                                                                                                  165511              3281690246979
C4   ????????        000000000100000019.2                                                                                                                                                                  165511              3281690247204
C5   ????????        000000000100000038.6                                                                                                                                                                  165511              3281690247099
C6   ????????        000000000100000038.6                                                                                                                                                                  165511              3281690246955
C7   ????????        00000000020000015.94                                                                                                                                                                  165511              3281690235669
C8   ????????        00000000010000008.98                                                                                                                                                                  165511              3281690174159
C9   ????????        000000000100000017.5                                                                                                                                                                  165511              3284090006358
C10  ????????        00000000010000013.15                                                                                                                                                                  165511              3281690228265
C11  ????????        00000000020000011.55                                                                                                                                                                  165511              3281690164549
C12  ????????        00000000050000013.75                                                                                                                                                                  165511              3519911500075
C13  ????????        00000000100000002.29                                                                                                                                                                  165511              3284090310011
C14  ????????        00000000020000011.02                                                                                                                                                                  165511              3281690170960
C15  ????????        00000000020000011.02                                                                                                                                                                  165511              3281690164778
