A165446              ?240422        165446                                             DATE DE LIVRAISON : 240422 HEURE MINI :      HEURE MAXI :                     EUR 165446               1420000000001
BCROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                   pdv03340@mousquetaires.com                                                                                       
BLROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
BFROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
C1   ????????        00000000010000023.18                                                                                                                                                                  165446              3281690244418
C2   ????????        00000000010000024.41                                                                                                                                                                  165446              3281690244425
C3   ????????        00000000010000026.45                                                                                                                                                                  165446              3281690244432
C4   ????????        000000000400000006.1                                                                                                                                                                  165446              3281690247532
C5   ????????        000000000100000022.4                                                                                                                                                                  165446              3281690246931
C6   ????????        000000000100000019.2                                                                                                                                                                  165446              3281690247006
C7   ????????        000000000100000022.4                                                                                                                                                                  165446              3281690247266
C8   ????????        000000000200000022.4                                                                                                                                                                  165446              3281690247082
C9   ????????        000000000100000019.2                                                                                                                                                                  165446              3281690247204
C10  ????????        000000000100000038.6                                                                                                                                                                  165446              3281690246948
C11  ????????        000000000100000038.6                                                                                                                                                                  165446              3281690246955
C12  ????????        000000000100000016.1                                                                                                                                                                  165446              3281690247150
C13  ????????        00000000010000013.15                                                                                                                                                                  165446              3281690228265
C14  ????????        000000000200000015.8                                                                                                                                                                  165446              3281690194867
C15  ????????        00000000010000006.14                                                                                                                                                                  165446              3281690185889
C16  ????????        00000000020000009.99                                                                                                                                                                  165446              3281690226452
C17  ????????        00000000010000008.75                                                                                                                                                                  165446              3281690174166
C18  ????????        00000000020000001.02                                                                                                                                                                  165446              3284090002008
C19  ????????        000000000200000013.7                                                                                                                                                                  165446              3281690187142
C20  ????????        00000000010000009.25                                                                                                                                                                  165446              3281690199732
C21  ????????        00000000010000007.73                                                                                                                                                                  165446              3281690137581
C22  ????????        00000000010000009.15                                                                                                                                                                  165446              3281690247426
C23  ????????        000000000200000014.6                                                                                                                                                                  165446              3281690244470
