A165717              ?241112        165717                                             DATE DE LIVRAISON : 241112 HEURE MINI :      HEURE MAXI :                     EUR 165717               7714000000001
BCROADY NEMOURS                      ZAC DES HAUTEUR DU LOING                                    77140    NEMOURS                            FR                                                   roady.nemours@orange.fr                                                                                          
BLROADY NEMOURS                      ZAC DES HAUTEUR DU LOING                                    77140    NEMOURS                            FR                                                                                                                                                                    
BFROADY NEMOURS                      ZAC DES HAUTEUR DU LOING                                    77140    NEMOURS                            FR                                                                                                                                                                    
C1   ????????        000000000300000013.7                                                                                                                                                                  165717              3281690223055
C2   ????????        00000000030000014.99                                                                                                                                                                  165717              3281690235201
C3   ????????        00000000030000014.99                                                                                                                                                                  165717              3281690235195
C4   ????????        00000000120000001.05                                                                                                                                                                  165717              7612720201976
C5   ????????        00000000120000001.05                                                                                                                                                                  165717              7612720201112
C6   ????????        00000000100000000.76                                                                                                                                                                  165717              3284090006143
C7   ????????        00000000030000016.62                                                                                                                                                                  165717              3519911500068
C8   ????????        00000000120000001.05                                                                                                                                                                  165717              7612720208746
C9   ????????        00000000120000001.05                                                                                                                                                                  165717              7612720208258
C10  ????????        00000000120000001.05                                                                                                                                                                  165717              7612720201730
C11  ????????        00000000080000002.99                                                                                                                                                                  165717              7612720811113
C12  ????????        00000000040000002.65                                                                                                                                                                  165717              7612720841530
C13  ????????        00000000040000002.65                                                                                                                                                                  165717              7612720841844
C14  ????????        00000000060000000003                                                                                                                                                                  165717              8051277331191
C15  ????????        00000000060000000003                                                                                                                                                                  165717              8051277331238
C16  ????????        00000000120000000003                                                                                                                                                                  165717              8051277331177
C17  ????????        00000000060000000003                                                                                                                                                                  165717              8051277331207
C18  ????????        000000001300000002.5                                                                                                                                                                  165717              5902846835806
C19  ????????        000000001200000002.5                                                                                                                                                                  165717              5902846835820
C20  ????????        000000001200000002.5                                                                                                                                                                  165717              5902846835752
C21  ????????        000000001200000002.5                                                                                                                                                                  165717              5904224104474
