A165451              ?240502        165451                                             DATE DE LIVRAISON : 240502 HEURE MINI :      HEURE MAXI :                     EUR 165451               3012842644707
BCFEU VERT VESOUL PUSEY              ZONE DE L'OASIS                                             70000    PUSEY                              FR 0384961554                                        vesoul@feuvert.fr                                                                                                
BLFEU VERT VESOUL PUSEY              ZONE DE L'OASIS                                             70000    PUSEY                              FR 0384961554                                                                                                                                                         
BFFEU VERT VESOUL PUSEY              ZONE DE L'OASIS                                             70000    PUSEY                              FR 0384961554                                                                                                                                                         
C1   ????????        000000000200000013.5                                                                                                                                                                  165451              3281690244401
C2   ????????        000000000200000014.5                                                                                                                                                                  165451              3281690244425
C3   ????????        000000000100000015.5                                                                                                                                                                  165451              3281690244449
C4   ????????        000000000100000010.1                                                                                                                                                                  165451              3281690244159
C5   ????????        000000000100000011.9                                                                                                                                                                  165451              3281690244166
C6   ????????        000000000200000012.9                                                                                                                                                                  165451              3281690244173
C7   ????????        000000000100000015.2                                                                                                                                                                  165451              3281690247297
C8   ????????        00000000020000013.13                                                                                                                                                                  165451              3281690225004
C9   ????????        00000000020000013.13                                                                                                                                                                  165451              3281690225028
C10  ????????        00000000020000013.13                                                                                                                                                                  165451              3281690225011
C11  ????????        00000000020000014.55                                                                                                                                                                  165451              3281690222188
C12  ????????        00000000020000004.44                                                                                                                                                                  165451              3281690187654
C13  ????????        00000000020000004.44                                                                                                                                                                  165451              3281690187661
C14  ????????        00000000020000013.35                                                                                                                                                                  165451              3281690164556
C15  ????????        00000000020000002.79                                                                                                                                                                  165451              3281690201930
C16  ????????        00000000020000014.24                                                                                                                                                                  165451              3281690222140
C17  ????????        00000000020000013.44                                                                                                                                                                  165451              3519910034106
C18  ????????        00000000020000014.55                                                                                                                                                                  165451              3519910034113
C19  ????????        00000000020000015.66                                                                                                                                                                  165451              3519910034120
C20  ????????        00000000030000006.59                                                                                                                                                                  165451              3281690225998
C21  ????????        00000000020000007.92                                                                                                                                                                  165451              3281690226001
C22  ????????        00000000020000009.11                                                                                                                                                                  165451              3281690247471
C23  ????????        00000000020000014.76                                                                                                                                                                  165451              3281690247488
C24  ????????        00000000020000017.32                                                                                                                                                                  165451              3281690247204
C25  ????????        000000000200000033.8                                                                                                                                                                  165451              3281690247099
C26  ????????        00000000020000030.49                                                                                                                                                                  165451              3281690247013
C27  ????????        000000000200000006.5                                                                                                                                                                  165451              3281690224564
C28  ????????        000000000100000009.1                                                                                                                                                                  165451              3281690141922
C29  ????????        00000000020000008.89                                                                                                                                                                  165451              3281690228265
C30  ????????        000000000200000012.5                                                                                                                                                                  165451              3281690194867
C31  ????????        000000000200000013.1                                                                                                                                                                  165451              3281690237014
C32  ????????        00000000010000008.66                                                                                                                                                                  165451              3281690247426
C33  ????????        000000000200000038.9                                                                                                                                                                  165451              3281690247044
C34  ????????        00000000010000026.32                                                                                                                                                                  165451              3281690247167
C35  ????????        000000000200000024.7                                                                                                                                                                  165451              3281690247143
C36  ????????        00000000020000032.08                                                                                                                                                                  165451              3281690247051
C37  ????????        00000000010000015.28                                                                                                                                                                  165451              3281690247150
