A165470              ?240530        165470                                             DATE DE LIVRAISON : 240530 HEURE MINI :      HEURE MAXI :                     EUR 165470               61300764627130
BCPOINT S L'AIGLE                    4 AVENUE KENNEDY CENTRE AUTO DE LA RISLE                    61300    L AIGLE                            FR                                                   centreautorisle@points.fr                                                                                        
BLPOINT S L'AIGLE                    4 AVENUE KENNEDY CENTRE AUTO DE LA RISLE                    61300    L AIGLE                            FR                                                                                                                                                                    
BFPOINT S L'AIGLE                    4 AVENUE KENNEDY CENTRE AUTO DE LA RISLE                    61300    L AIGLE                            FR                                                                                                                                                                    
C1   ????????        00000000040000008.19                                                                                                                                                                  165470              3281690247471
C2   ????????        00000000030000006.68                                                                                                                                                                  165470              3281690241066
C3   ????????        00000000040000015.57                                                                                                                                                                  165470              3281690247464
C4   ????????        00000000010000014.25                                                                                                                                                                  165470              3281690239384
C5   ????????        00000000020000014.85                                                                                                                                                                  165470              3281690247136
C6   ????????        00000000020000018.99                                                                                                                                                                  165470              3281690247235
C7   ????????        00000000020000034.38                                                                                                                                                                  165470              3281690247280
C8   ????????        00000000010000036.18                                                                                                                                                                  165470              3281690247075
C9   ????????        00000000010000032.76                                                                                                                                                                  165470              3281690247198
C10  ????????        00000000010000030.33                                                                                                                                                                  165470              3281690244357
C11  ????????        00000000010000029.25                                                                                                                                                                  165470              3281690244340
C12  ????????        000000000200000004.3                                                                                                                                                                  165470              3281690227077
C13  ????????        00000000040000006.21                                                                                                                                                                  165470              3284090005160
C14  ????????        00000000010000005.81                                                                                                                                                                  165470              3284090006105
C15  ????????        00000000020000015.75                                                                                                                                                                  165470              3284090006358
C16  ????????        00000000020000016.07                                                                                                                                                                  165470              3281690164556
C17  ????????        00000000020000008.42                                                                                                                                                                  165470              3281690199732
