A165483              ?240617        165483                                             DATE DE LIVRAISON : 240617 HEURE MINI :      HEURE MAXI :                     EUR 165483               3012842641836
BCFEU VERT CARPENTRAS                815 AVENUE J.H. FABRE SARL AUTO FEELING                     84200    CARPENTRAS                         FR                                                   carpentras@feuvert.fr                                                                                            
BLFEU VERT CARPENTRAS                815 AVENUE J.H. FABRE SARL AUTO FEELING                     84200    CARPENTRAS                         FR                                                                                                                                                                    
BFFEU VERT CARPENTRAS                815 AVENUE J.H. FABRE SARL AUTO FEELING                     84200    CARPENTRAS                         FR                                                                                                                                                                    
C1   ????????        00000000050000006.45                                                                                                                                                                  165483              3284090197018
C2   ????????        00000000010000030.49                                                                                                                                                                  165483              3281690247013
C3   ????????        000000000100000044.8                                                                                                                                                                  165483              3281690247112
C4   ????????        000000000100000033.9                                                                                                                                                                  165483              3281690247242
C5   ????????        00000000010000030.49                                                                                                                                                                  165483              3281690247020
C6   ????????        00000000020000015.19                                                                                                                                                                  165483              3281690166178
C7   ????????        00000000010000013.35                                                                                                                                                                  165483              3281690164556
C8   ????????        00000000010000017.75                                                                                                                                                                  165483              3281690235270
C9   ????????        00000000010000004.13                                                                                                                                                                  165483              3281690227343
C10  ????????        00000000010000004.13                                                                                                                                                                  165483              3281690227350
C11  ????????        000000000100000008.8                                                                                                                                                                  165483              3281690233634
C12  ????????        00000000060000000002                                                                                                                                                                  165483              5907718927177
C13  ????????        00000000060000000002                                                                                                                                                                  165483              5907718923131
C14  ????????        00000000050000000002                                                                                                                                                                  165483              5907718927160
C15  ????????        000000000200000013.5                                                                                                                                                                  165483              3281690244401
C16  ????????        00000000020000000014                                                                                                                                                                  165483              3281690244418
C17  ????????        000000000200000037.2                                                                                                                                                                  165483              3281690244371
C18  ????????        000000000200000033.5                                                                                                                                                                  165483              3281690244364
C19  ????????        000000000200000031.5                                                                                                                                                                  165483              3281690244357
C20  ????????        00000000010000001.49                                                                                                                                                                  165483              3284090699208
C21  ????????        00000000010000002.79                                                                                                                                                                  165483              3284090007812
C22  ????????        00000000010000003.09                                                                                                                                                                  165483              3284090007850
C23  ????????        00000000030000026.32                                                                                                                                                                  165483              3281690247167
C24  ????????        00000000030000015.28                                                                                                                                                                  165483              3281690247150
