A165571              ?240911        165571                                             DATE DE LIVRAISON : 240911 HEURE MINI :      HEURE MAXI :                     EUR 165571               7714000000001
BCROADY NEMOURS                      ZAC DES HAUTEUR DU LOING                                    77140    NEMOURS                            FR                                                   roady.nemours@orange.fr                                                                                          
BLROADY NEMOURS                      ZAC DES HAUTEUR DU LOING                                    77140    NEMOURS                            FR                                                                                                                                                                    
BFROADY NEMOURS                      ZAC DES HAUTEUR DU LOING                                    77140    NEMOURS                            FR                                                                                                                                                                    
C1   ????????        00000000120000003.99                                                                                                                                                                  165571              3284090152017
C2   ????????        000000001000000004.4                                                                                                                                                                  165571              3284090004897
C3   ????????        000000001200000000.8                                                                                                                                                                  165571              3281690250006
C4   ????????        000000001200000001.5                                                                                                                                                                  165571              3281690250013
C5   ????????        000000001200000001.5                                                                                                                                                                  165571              3281690250020
C6   ????????        000000001200000002.7                                                                                                                                                                  165571              3281690250037
C7   ????????        000000001200000002.3                                                                                                                                                                  165571              3281690250044
C8   ????????        000000001200000002.3                                                                                                                                                                  165571              3281690250051
C9   ????????        000000001200000002.7                                                                                                                                                                  165571              3281690250068
C10  ????????        000000002400000001.6                                                                                                                                                                  165571              3281690250082
C11  ????????        000000001200000002.7                                                                                                                                                                  165571              3281690250105
C12  ????????        000000001200000002.3                                                                                                                                                                  165571              3281690250112
C13  ????????        00000000100000002.79                                                                                                                                                                  165571              3284092800015
C14  ????????        00000000100000002.79                                                                                                                                                                  165571              3284092800022
C15  ????????        00000000100000002.79                                                                                                                                                                  165571              3284092800039
C16  ????????        00000000100000002.79                                                                                                                                                                  165571              3284092800046
C17  ????????        00000000180000001.45                                                                                                                                                                  165571              3284090282059
C18  ????????        00000000120000001.05                                                                                                                                                                  165571              7612720201013
C19  ????????        00000000120000001.05                                                                                                                                                                  165571              7612720201433
C20  ????????        00000000120000001.05                                                                                                                                                                  165571              7612720201211
C21  ????????        00000000120000001.05                                                                                                                                                                  165571              7612720201662
C22  ????????        00000000120000001.05                                                                                                                                                                  165571              7612720201419
C23  ????????        00000000120000001.05                                                                                                                                                                  165571              7612720208029
C24  ????????        00000000120000001.05                                                                                                                                                                  165571              7612720201112
C25  ????????        00000000040000002.65                                                                                                                                                                  165571              7612720841042
C26  ????????        00000000040000002.65                                                                                                                                                                  165571              7612720841738
C27  ????????        00000000120000001.05                                                                                                                                                                  165571              7612720201976
C28  ????????        00000000060000002.25                                                                                                                                                                  165571              8053288294601
C29  ????????        00000000080000001.75                                                                                                                                                                  165571              5904224107710
C30  ????????        00000000080000001.75                                                                                                                                                                  165571              5902846837794
C31  ????????        00000000080000001.75                                                                                                                                                                  165571              5902846837831
C32  ????????        00000000080000001.75                                                                                                                                                                  165571              5904224101466
C33  ????????        00000000080000001.75                                                                                                                                                                  165571              5904224107734
C34  ????????        00000000080000001.75                                                                                                                                                                  165571              5904224109257
C35  ????????        00000000080000002.45                                                                                                                                                                  165571              5907718921205
C36  ????????        00000000080000002.45                                                                                                                                                                  165571              5907718920925
C37  ????????        00000000080000002.45                                                                                                                                                                  165571              5907718920987
C38  ????????        000000000100000089.4                                                                                                                                                                  165571              3284093280199
C39  ????????        000000002400000000.8                                                                                                                                                                  165571              5904224103781
C40  ????????        00000000040000009.62                                                                                                                                                                  165571              3281690245859
C41  ????????        00000000040000009.62                                                                                                                                                                  165571              3281690245866
C42  ????????        00000000040000009.62                                                                                                                                                                  165571              3281690245873
C43  ????????        00000000040000009.62                                                                                                                                                                  165571              3281690245880
C44  ????????        00000000020000009.62                                                                                                                                                                  165571              3281690245897
C45  ????????        00000000020000009.62                                                                                                                                                                  165571              3281690245910
C46  ????????        00000000020000009.62                                                                                                                                                                  165571              3281690245927
C47  ????????        00000000020000009.62                                                                                                                                                                  165571              3281690245934
C48  ????????        00000000050000005.95                                                                                                                                                                  165571              3284090003920
C49  ????????        000000000500000004.4                                                                                                                                                                  165571              3284090003951
C50  ????????        00000000100000005.23                                                                                                                                                                  165571              3281690239902
C51  ????????        000000000500000008.9                                                                                                                                                                  165571              3281690244937
C52  ????????        000000000300000012.9                                                                                                                                                                  165571              3281690233436
C53  ????????        00000000020000011.02                                                                                                                                                                  165571              3281690200483
C54  ????????        00000000020000011.02                                                                                                                                                                  165571              3281690170977
C55  ????????        00000000020000011.02                                                                                                                                                                  165571              3281690170960
C56  ????????        00000000020000011.02                                                                                                                                                                  165571              3281690164778
C57  ????????        00000000020000011.02                                                                                                                                                                  165571              3281690147818
C58  ????????        000000001000000004.5                                                                                                                                                                  165571              3281690239995
