reference;Prix spécial : Id_group client;Prix spécial : Qté minimum;Prix spécial : reduction;Prix spécial : Type de reduction;soldé
174510;2;1;5;percentage;oui
174500;2;1;5;percentage;oui
174490;2;1;5;percentage;oui
174480;2;1;5;percentage;oui
174470;2;1;5;percentage;oui
174540;2;1;5;percentage;oui
174520;2;1;5;percentage;oui
174530;2;1;5;percentage;oui
2329042;2;1;20;percentage;oui
238200;2;1;25;percentage;oui
2362739;2;1;20;percentage;oui
168670;2;1;5;percentage;oui
2329052;2;1;20;percentage;oui
241350;2;1;5;percentage;oui
116;2;1;5;percentage;oui
202550;2;1;20;percentage;oui
2328992;2;1;20;percentage;oui
223130;2;1;20;percentage;oui
2403610;2;1;20;percentage;oui
2403598;2;1;20;percentage;oui
196360;2;1;5;percentage;oui
243830;2;1;5;percentage;oui
243770;2;1;5;percentage;oui
239810;2;1;5;percentage;oui
243730;2;1;5;percentage;oui
243720;2;1;5;percentage;oui
2328974;2;1;20;percentage;oui
2403581;2;1;20;percentage;oui
2329040;2;1;20;percentage;oui
2329048;2;1;20;percentage;oui
2362696;2;1;20;percentage;oui
2329015;2;1;20;percentage;oui
2362719;2;1;20;percentage;oui
2362756;2;1;20;percentage;oui
2362694;2;1;20;percentage;oui
2362767;2;1;20;percentage;oui
2329032;2;1;20;percentage;oui
2403600;2;1;20;percentage;oui
2403609;2;1;20;percentage;oui
2403611;2;1;20;percentage;oui
2328973;2;1;20;percentage;oui
392;2;1;20;percentage;oui
237030;2;1;5;percentage;oui
2403629;2;1;20;percentage;oui
2329041;2;1;20;percentage;oui
2362698;2;1;20;percentage;oui
2403620;2;1;20;percentage;oui
236280;2;1;20;percentage;oui
236270;2;1;20;percentage;oui
168680;2;1;5;percentage;oui
2328975;2;1;20;percentage;oui
2328978;2;1;20;percentage;oui
2329053;2;1;20;percentage;oui
235380;2;1;20;percentage;oui
174590;2;1;20;percentage;oui
237050;2;1;5;percentage;oui
2403631;2;1;20;percentage;oui
2403618;2;1;20;percentage;oui
184020;2;1;5;percentage;oui
225990;2;1;20;percentage;oui
2362730;2;1;20;percentage;oui
2403582;2;1;20;percentage;oui
2403608;2;1;20;percentage;oui
2362713;2;1;20;percentage;oui
2362784;2;1;20;percentage;oui
2403633;2;1;20;percentage;oui
185880;2;1;5;percentage;oui
185870;2;1;5;percentage;oui
2403586;2;1;20;percentage;oui
2362746;2;1;20;percentage;oui
2403596;2;1;20;percentage;oui
2403599;2;1;20;percentage;oui
2329001;2;1;20;percentage;oui
2403605;2;1;20;percentage;oui
2403625;2;1;20;percentage;oui
406;2;1;5;percentage;oui
235650;2;1;5;percentage;oui
97622;2;1;5;percentage;oui
2403604;2;1;20;percentage;oui
2329017;2;1;20;percentage;oui
79701;2;1;5;percentage;oui
2403593;2;1;5;percentage;oui
194860;2;1;5;percentage;oui
2362727;2;1;20;percentage;oui
2403588;2;1;20;percentage;oui
2403613;2;1;20;percentage;oui
243940;2;1;5;percentage;oui
202500;2;1;20;percentage;oui
226430;2;1;5;percentage;oui
243780;2;1;10;percentage;oui
699;2;1;5;percentage;oui
2329002;2;1;20;percentage;oui
228280;2;1;5;percentage;oui
235400;2;1;5;percentage;oui
190750;2;1;5;percentage;oui
190760;2;1;5;percentage;oui
190770;2;1;5;percentage;oui
190740;2;1;5;percentage;oui
2403584;2;1;20;percentage;oui
2403585;2;1;20;percentage;oui
79801;2;1;5;percentage;oui
243990;2;1;10;percentage;oui
243840;2;1;10;percentage;oui
243740;2;1;20;percentage;oui
390;2;1;20;percentage;oui
176320;2;1;5;percentage;oui
516;2;1;5;percentage;oui
840;2;1;5;percentage;oui
2328999;2;1;20;percentage;oui
856;2;1;5;percentage;oui
164750;2;1;5;percentage;oui
97380;2;1;5;percentage;oui
223470;2;1;5;percentage;oui
781;2;1;5;percentage;oui
915;2;1;5;percentage;oui
2403612;2;1;20;percentage;oui
2362704;2;1;20;percentage;oui
2403632;2;1;20;percentage;oui
107;2;1;10;percentage;oui
164570;2;1;5;percentage;oui
191760;2;1;5;percentage;oui
222300;2;1;5;percentage;oui
233580;2;1;20;percentage;oui
243760;2;1;10;percentage;oui
187640;2;1;5;percentage;oui
2362692;2;1;20;percentage;oui
2403601;2;1;20;percentage;oui
244000;2;1;10;percentage;oui
243810;2;1;10;percentage;oui
243850;2;1;10;percentage;oui
233860;2;1;5;percentage;oui
199260;2;1;5;percentage;oui
243890;2;1;10;percentage;oui
225980;2;1;20;percentage;oui
228260;2;1;5;percentage;oui
97603;2;1;5;percentage;oui
2403590;2;1;20;percentage;oui
2403580;2;1;20;percentage;oui
236990;2;1;5;percentage;oui
202510;2;1;20;percentage;oui
179790;2;1;10;percentage;oui
234310;2;1;5;percentage;oui
542;2;1;5;percentage;oui
243920;2;1;5;percentage;oui
97602;2;1;5;percentage;oui
222590;2;1;15;percentage;oui
239260;2;1;5;percentage;oui
174840;2;1;5;percentage;oui
2328979;2;1;20;percentage;oui
013/991;2;1;5;percentage;oui
