reference;Prix spécial : Id_group client;Prix spécial : Qté minimum;Prix spécial : reduction;Prix spécial : Type de reduction;soldé
174510;1;1;5;percentage;oui
174500;1;1;5;percentage;oui
174490;1;1;5;percentage;oui
174480;1;1;5;percentage;oui
174470;1;1;5;percentage;oui
174540;1;1;5;percentage;oui
174520;1;1;5;percentage;oui
174530;1;1;5;percentage;oui
2329042;1;1;20;percentage;oui
238200;1;1;25;percentage;oui
2362739;1;1;20;percentage;oui
168670;1;1;5;percentage;oui
2329052;1;1;20;percentage;oui
241350;1;1;5;percentage;oui
116;1;1;5;percentage;oui
202550;1;1;20;percentage;oui
2328992;1;1;20;percentage;oui
223130;1;1;20;percentage;oui
2403610;1;1;20;percentage;oui
2403598;1;1;20;percentage;oui
196360;1;1;5;percentage;oui
243830;1;1;5;percentage;oui
243770;1;1;5;percentage;oui
239810;1;1;5;percentage;oui
243730;1;1;5;percentage;oui
243720;1;1;5;percentage;oui
2328974;1;1;20;percentage;oui
2403581;1;1;20;percentage;oui
2329040;1;1;20;percentage;oui
2329048;1;1;20;percentage;oui
2362696;1;1;20;percentage;oui
2329015;1;1;20;percentage;oui
2362719;1;1;20;percentage;oui
2362756;1;1;20;percentage;oui
2362694;1;1;20;percentage;oui
2362767;1;1;20;percentage;oui
2329032;1;1;20;percentage;oui
2403600;1;1;20;percentage;oui
2403609;1;1;20;percentage;oui
2403611;1;1;20;percentage;oui
2328973;1;1;20;percentage;oui
392;1;1;20;percentage;oui
237030;1;1;5;percentage;oui
2403629;1;1;20;percentage;oui
2329041;1;1;20;percentage;oui
2362698;1;1;20;percentage;oui
2403620;1;1;20;percentage;oui
236280;1;1;20;percentage;oui
236270;1;1;20;percentage;oui
168680;1;1;5;percentage;oui
2328975;1;1;20;percentage;oui
2328978;1;1;20;percentage;oui
2329053;1;1;20;percentage;oui
235380;1;1;20;percentage;oui
174590;1;1;20;percentage;oui
237050;1;1;5;percentage;oui
2403631;1;1;20;percentage;oui
2403618;1;1;20;percentage;oui
184020;1;1;5;percentage;oui
225990;1;1;20;percentage;oui
2362730;1;1;20;percentage;oui
2403582;1;1;20;percentage;oui
2403608;1;1;20;percentage;oui
2362713;1;1;20;percentage;oui
2362784;1;1;20;percentage;oui
2403633;1;1;20;percentage;oui
185880;1;1;5;percentage;oui
185870;1;1;5;percentage;oui
2403586;1;1;20;percentage;oui
2362746;1;1;20;percentage;oui
2403596;1;1;20;percentage;oui
2403599;1;1;20;percentage;oui
2329001;1;1;20;percentage;oui
2403605;1;1;20;percentage;oui
2403625;1;1;20;percentage;oui
406;1;1;5;percentage;oui
235650;1;1;5;percentage;oui
97622;1;1;5;percentage;oui
2403604;1;1;20;percentage;oui
2329017;1;1;20;percentage;oui
79701;1;1;5;percentage;oui
2403593;1;1;5;percentage;oui
194860;1;1;5;percentage;oui
2362727;1;1;20;percentage;oui
2403588;1;1;20;percentage;oui
2403613;1;1;20;percentage;oui
243940;1;1;5;percentage;oui
202500;1;1;20;percentage;oui
226430;1;1;5;percentage;oui
243780;1;1;10;percentage;oui
699;1;1;5;percentage;oui
2329002;1;1;20;percentage;oui
228280;1;1;5;percentage;oui
235400;1;1;5;percentage;oui
190750;1;1;5;percentage;oui
190760;1;1;5;percentage;oui
190770;1;1;5;percentage;oui
190740;1;1;5;percentage;oui
2403584;1;1;20;percentage;oui
2403585;1;1;20;percentage;oui
79801;1;1;5;percentage;oui
243990;1;1;10;percentage;oui
243840;1;1;10;percentage;oui
243740;1;1;20;percentage;oui
390;1;1;20;percentage;oui
176320;1;1;5;percentage;oui
516;1;1;5;percentage;oui
840;1;1;5;percentage;oui
2328999;1;1;20;percentage;oui
856;1;1;5;percentage;oui
164750;1;1;5;percentage;oui
97380;1;1;5;percentage;oui
223470;1;1;5;percentage;oui
781;1;1;5;percentage;oui
915;1;1;5;percentage;oui
2403612;1;1;20;percentage;oui
2362704;1;1;20;percentage;oui
2403632;1;1;20;percentage;oui
107;1;1;10;percentage;oui
164570;1;1;5;percentage;oui
191760;1;1;5;percentage;oui
222300;1;1;5;percentage;oui
233580;1;1;20;percentage;oui
243760;1;1;10;percentage;oui
187640;1;1;5;percentage;oui
2362692;1;1;20;percentage;oui
2403601;1;1;20;percentage;oui
244000;1;1;10;percentage;oui
243810;1;1;10;percentage;oui
243850;1;1;10;percentage;oui
233860;1;1;5;percentage;oui
199260;1;1;5;percentage;oui
243890;1;1;10;percentage;oui
225980;1;1;20;percentage;oui
228260;1;1;5;percentage;oui
97603;1;1;5;percentage;oui
2403590;1;1;20;percentage;oui
2403580;1;1;20;percentage;oui
236990;1;1;5;percentage;oui
202510;1;1;20;percentage;oui
179790;1;1;10;percentage;oui
234310;1;1;5;percentage;oui
542;1;1;5;percentage;oui
243920;1;1;5;percentage;oui
97602;1;1;5;percentage;oui
222590;1;1;15;percentage;oui
239260;1;1;5;percentage;oui
174840;1;1;5;percentage;oui
2328979;1;1;20;percentage;oui
013/991;1;1;5;percentage;oui
013/915;1;1;5;percentage;oui
787;1;1;5;percentage;oui
946;1;1;5;percentage;oui
226530;1;1;5;percentage;oui
233870;1;1;5;percentage;oui
235360;1;1;10;percentage;oui
44005;1;1;5;percentage;oui
2403592;1;1;20;percentage;oui
2403594;1;1;20;percentage;oui
97601;1;1;5;percentage;oui
223030;1;1;10;percentage;oui
223020;1;1;10;percentage;oui
202570;1;1;10;percentage;oui
235280;1;1;5;percentage;oui
187650;1;1;5;percentage;oui
186370;1;1;5;percentage;oui
186380;1;1;5;percentage;oui
404;1;1;5;percentage;oui
236950;1;1;5;percentage;oui
2329051;1;1;20;percentage;oui
681;1;1;5;percentage;oui
